Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"220uF 35v","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
C10 ,1,"8pF 1kV","Capacitor_THT:C_Rect_L13.5mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","~"
C11 ,1,"1nF 2kV","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
C12 ,1,"2.2uF 630V","Capacitor_THT:C_Rect_L29.0mm_W13.8mm_P27.50mm_MKT","~"
C2 ,1,"22nF","Capacitor_SMD:C_0805_2012Metric","~"
C3 ,1,"2.2nF","Capacitor_SMD:C_0805_2012Metric","~"
C4 ,1,"2200uF 35v","Capacitor_THT:CP_Radial_D14.0mm_P7.50mm","~"
C6 ,1,"100nF","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
C5 C7 C8 C9 C13 C14 ,6,"1uF","Capacitor_SMD:C_0805_2012Metric","~"
D2 ,1,"1.5K100A","Diode_THT:D_DO-201AE_P15.24mm_Horizontal","https://www.vishay.com/docs/88301/15ke.pdf"
D1 D3 D4 ,3,"UF4007","Diode_THT:D_5W_P10.16mm_Horizontal","~"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J1 ,1,"Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~"
J2 ,1,"Conn_01x04_Male","Connector_KF2510:KF2510_4pin","~"
L1 ,1,"4uH","Inductor_THT:L_Toroid_Vertical_L16.3mm_W7.1mm_P7.11mm_Pulse_H","~"
PS1 ,1,"TMV1215D","Converter_DCDC:Converter_DCDC_XP_POWER-IHxxxxSH_THT",""
Q1 ,1,"IRF640NSTR","Package_TO_SOT_SMD:TO-252-2","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
R1 R2 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~"
R10 ,1,"36k 1%","Resistor_SMD:R_0805_2012Metric","~"
R11 ,1,"1.5M 1%","Resistor_SMD:R_0805_2012Metric","~"
R12 ,1,"500k 0.5W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~"
R3 ,1,"6.8k","Resistor_SMD:R_0805_2012Metric","~"
R4 ,1,"100k","Resistor_SMD:R_0805_2012Metric","~"
R5 ,1,"27k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R6 ,1,"20","Resistor_SMD:R_0805_2012Metric","~"
R7 ,1,"0.2 0.25W","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
R8 R9 R13 R14 R15 R16 R17 ,7,"1k","Resistor_SMD:R_0805_2012Metric","~"
T1 ,1,"Transfomer_1P_1S_custom","Transformer_THT:EF25 E25.13.7_Vertical",""
U1 ,1,"OP177","Package_DIP:DIP-8_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf"
U2 ,1,"UC3845_DIP8","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/uc3842.pdf"
U3 ,1,"DCP011515D","Converter_DCDC:Converter_DCDC_DCP01xxxxD",""
U4 ,1,"ISO124P","Package_DIP:DIP-8-16_W7.62mm",""
U5 U6 U8 U9 ,4,"CPC1977","OptoDevice:i4-PAC",""
U7 ,1,"PVN012","Package_DIP:DIP-6_W7.62mm","https://www.onsemi.com/pub/Collateral/FOD4218-D.PDF"